Date,Environmental Temperature (°C),Relative Humidity (%),Hive Temperature (°C),Hive Humidity (%),Wind Speed (km/h),Honey Weight (kg),Total Weight (Hive + Bees + Honey) (kg),Extract Honey
"January 1, 2024",23.34,65.06,34.9,66.9,9.92,0.31,25.31,False
"January 2, 2024",24.85,69.56,34.41,62.19,0.97,0.65,25.65,False
"January 3, 2024",24.27,80.18,31.44,62.97,1.44,0.88,25.88,False
"January 4, 2024",30.65,84.92,31.13,59.78,2.49,1.2,26.2,False
"January 5, 2024",28.67,74.24,30.83,59.21,8.48,1.38,26.38,False
"January 6, 2024",25.32,79.15,31.22,67.98,0.52,1.69,26.69,False
"January 7, 2024",29.26,80.67,31.79,55.61,6.91,1.89,26.89,False
"January 8, 2024",22.7,87.29,31.04,66.39,8.08,2.07,27.07,False
"January 9, 2024",23.52,87.77,31.4,52.97,7.46,2.4,27.4,False
"January 10, 2024",23.62,89.79,31.85,69.97,3.15,2.59,27.59,False
"January 11, 2024",22.85,75.94,32.63,65.81,2.52,2.98,27.98,False
"January 12, 2024",21.31,77.26,34.02,65.02,6.38,3.16,28.16,False
"January 13, 2024",23.29,80.25,33.8,59.39,4.84,3.54,28.54,False
"January 14, 2024",29.7,76.92,34.08,67.65,8.47,3.71,28.71,False
"January 15, 2024",26.29,82.01,31.49,67.56,2.09,4.01,29.01,False
"January 16, 2024",22.63,74.72,32.54,63.95,7.03,4.41,29.41,False
"January 17, 2024",27.1,79.17,31.36,57.9,9.86,4.63,29.63,False
"January 18, 2024",26.25,73.85,34.84,69.68,0.21,4.83,29.83,False
"January 19, 2024",23.69,78.04,30.52,62.61,0.12,5.2,30.2,False
"January 20, 2024",22.09,65.13,31.08,60.2,7.03,5.58,30.58,False
"January 21, 2024",18.68,75.16,32.3,57.41,0.11,5.92,30.92,False
"January 22, 2024",24.11,85.17,32.3,60.1,4.28,6.21,31.21,False
"January 23, 2024",20.36,75.12,34.71,62.18,2.27,6.59,31.59,False
"January 24, 2024",21.41,69.4,33.88,60.46,6.93,6.75,31.75,False
"January 25, 2024",29.28,88.84,33.24,65.77,9.6,7.04,32.04,False
"January 26, 2024",28.62,68.13,30.18,59.76,9.04,7.28,32.28,False
"January 27, 2024",22.58,83.94,32.01,58.97,3.57,7.57,32.57,False
"January 28, 2024",28.49,89.95,34.85,56.7,7.38,7.87,32.87,False
"January 29, 2024",19.25,69.82,32.26,69.32,6.38,8.24,33.24,False
"January 30, 2024",19.13,71.61,31.88,64.47,1.09,8.46,33.46,False
"January 31, 2024",30.39,85.82,32.13,64.71,1.42,8.75,33.75,False
"February 1, 2024",25.0,67.93,34.81,64.07,7.03,8.98,33.98,False
"February 2, 2024",19.66,88.91,30.64,54.89,6.82,9.25,34.25,False
"February 3, 2024",18.58,67.06,33.03,56.12,4.16,9.53,34.53,False
"February 4, 2024",29.4,74.98,33.77,62.77,3.94,9.77,34.77,False
"February 5, 2024",23.49,80.64,32.58,62.93,0.99,9.99,34.99,False
"February 6, 2024",23.61,65.99,32.52,58.27,4.02,10.37,35.37,False
"February 7, 2024",24.57,69.37,31.09,53.39,7.63,10.7,35.7,False
"February 8, 2024",26.32,86.18,30.22,60.21,1.46,11.0,36.0,False
"February 9, 2024",22.52,66.65,34.47,55.85,6.48,11.22,36.22,False
"February 10, 2024",24.12,67.1,33.4,60.75,5.68,11.41,36.41,False
