Batch_ID,Harvest_Quantity_kg,Processing_Quantity_kg,Bottled_Quantity_kg,Dispatched_Quantity_kg,Anomaly
HC-BATCH-1001,387.63,376.3,365.19,363.81,0
HC-BATCH-1002,465.4,452.44,440.63,628.39,1
HC-BATCH-1003,75.6,73.2,67.74,66.64,0
HC-BATCH-1004,356.18,327.09,323.25,299.74,0
HC-BATCH-1005,344.29,313.49,306.34,280.58,0
HC-BATCH-1006,145.45,140.48,132.59,130.69,0
HC-BATCH-1007,232.87,222.03,206.67,204.93,0
HC-BATCH-1008,400.11,378.47,351.08,330.18,0
HC-BATCH-1009,383.77,363.36,353.26,331.06,0
HC-BATCH-1010,415.13,388.99,375.94,367.85,0
HC-BATCH-1011,377.26,357.24,331.44,303.13,0
HC-BATCH-1012,254.67,237.36,223.74,222.94,0
HC-BATCH-1013,432.2,549.02,532.29,519.88,1
HC-BATCH-1014,292.36,285.14,276.22,247.62,0
HC-BATCH-1015,425.19,407.86,392.69,392.09,0
HC-BATCH-1016,337.74,307.93,289.22,262.26,0
HC-BATCH-1017,294.36,273.09,265.64,239.85,0
HC-BATCH-1018,202.42,185.83,183.49,164.57,0
HC-BATCH-1019,265.18,353.22,349.41,323.15,1
HC-BATCH-1020,239.86,218.77,204.62,192.47,0
HC-BATCH-1021,104.47,102.26,99.68,91.87,0
HC-BATCH-1022,476.69,437.45,403.03,369.84,0
HC-BATCH-1023,123.13,120.59,117.18,107.33,0
HC-BATCH-1024,267.44,247.81,237.91,225.77,0
HC-BATCH-1025,293.07,269.53,252.33,243.06,0
HC-BATCH-1026,385.67,359.89,348.81,318.29,0
HC-BATCH-1027,85.91,79.58,73.78,67.39,0
HC-BATCH-1028,343.01,330.55,313.75,300.16,0
HC-BATCH-1029,194.53,185.82,182.76,162.79,0
HC-BATCH-1030,79.56,73.93,71.29,67.43,0
HC-BATCH-1031,54.17,51.45,47.72,47.62,0
HC-BATCH-1032,291.14,280.47,261.67,237.06,0
HC-BATCH-1033,79.66,73.02,70.65,64.58,0
HC-BATCH-1034,312.11,296.54,368.17,339.87,1
HC-BATCH-1035,386.04,363.02,336.48,321.69,0
HC-BATCH-1036,442.66,416.57,403.48,398.8,0
HC-BATCH-1037,297.66,290.23,275.28,273.13,0
HC-BATCH-1038,445.28,420.09,392.35,390.65,0
HC-BATCH-1039,173.52,164.78,159.51,154.62,0
HC-BATCH-1040,340.85,317.54,301.94,286.71,0
HC-BATCH-1041,401.12,382.98,357.22,355.77,0
HC-BATCH-1042,161.38,207.93,195.31,193.84,1
HC-BATCH-1043,446.39,433.69,410.21,368.75,0
HC-BATCH-1044,158.3,186.31,179.15,167.25,1
HC-BATCH-1045,483.14,448.64,416.15,387.91,0
HC-BATCH-1046,352.76,326.56,304.99,269.29,0
HC-BATCH-1047,118.14,113.22,107.41,104.51,0
HC-BATCH-1048,394.0,375.26,366.01,332.0,0
HC-BATCH-1049,265.54,249.11,241.15,226.4,0
HC-BATCH-1050,212.82,199.07,185.66,168.15,0
HC-BATCH-1051,233.72,217.59,264.23,249.58,1
HC-BATCH-1052,464.23,450.81,437.97,388.69,0
HC-BATCH-1053,221.17,201.36,190.21,184.58,0
HC-BATCH-1054,379.0,534.13,518.27,456.95,1
HC-BATCH-1055,59.17,54.48,50.6,48.59,0
HC-BATCH-1056,240.41,222.34,212.95,206.05,0
HC-BATCH-1057,93.62,88.02,83.59,78.24,0
HC-BATCH-1058,162.14,157.18,149.63,146.06,0
HC-BATCH-1059,124.67,116.13,112.93,107.09,0
HC-BATCH-1060,392.55,367.64,357.58,350.37,0
HC-BATCH-1061,321.08,309.27,298.72,269.22,0
HC-BATCH-1062,373.89,348.1,327.79,304.52,0
HC-BATCH-1063,130.75,119.11,114.03,104.1,0
HC-BATCH-1064,344.65,317.36,302.4,301.28,0
HC-BATCH-1065,336.06,314.4,297.39,269.18,0
HC-BATCH-1066,473.72,436.2,421.42,407.29,0
HC-BATCH-1067,170.78,165.59,161.97,144.22,0
HC-BATCH-1068,485.92,461.89,442.47,429.09,0
HC-BATCH-1069,351.72,338.36,333.7,310.44,0
HC-BATCH-1070,208.2,190.08,186.45,171.96,0
HC-BATCH-1071,412.62,395.65,373.42,335.58,0
HC-BATCH-1072,179.7,175.42,171.38,162.13,0
HC-BATCH-1073,392.84,558.67,537.28,523.57,1
HC-BATCH-1074,50.26,46.88,43.19,42.82,0
HC-BATCH-1075,170.14,165.98,160.23,152.71,0
HC-BATCH-1076,367.06,335.2,313.73,286.98,0
HC-BATCH-1077,202.27,192.53,187.76,179.81,0
HC-BATCH-1078,298.36,282.86,269.25,247.34,0
HC-BATCH-1079,231.18,215.86,211.61,192.53,0
HC-BATCH-1080,274.12,261.48,245.86,244.58,0
HC-BATCH-1081,434.05,423.95,402.47,390.28,0
HC-BATCH-1082,254.75,239.37,236.26,236.13,0
HC-BATCH-1083,83.77,79.97,75.61,73.81,0
HC-BATCH-1084,359.32,350.22,341.52,326.15,0
HC-BATCH-1085,298.24,284.17,263.15,241.34,0
HC-BATCH-1086,125.51,119.55,116.25,103.9,0
HC-BATCH-1087,141.92,136.26,127.64,118.39,0
HC-BATCH-1088,437.13,401.42,397.2,519.23,1
HC-BATCH-1089,120.84,118.09,109.31,98.63,0
HC-BATCH-1090,423.23,403.46,395.52,375.46,0
HC-BATCH-1091,53.46,49.78,46.53,41.71,0
HC-BATCH-1092,430.48,401.37,379.02,336.49,0
HC-BATCH-1093,270.21,253.61,250.21,221.17,0
HC-BATCH-1094,291.51,282.56,268.48,264.69,0
HC-BATCH-1095,220.55,201.14,197.03,177.69,0
HC-BATCH-1096,445.42,431.26,406.04,360.14,0
HC-BATCH-1097,255.7,234.67,230.77,219.6,0
HC-BATCH-1098,157.07,146.49,136.56,121.03,0
HC-BATCH-1099,418.69,409.28,379.63,335.24,0
HC-BATCH-1100,452.59,424.11,419.09,393.75,0
HC-BATCH-1101,188.84,172.15,169.77,159.69,0
HC-BATCH-1102,214.85,201.27,193.16,184.01,0
HC-BATCH-1103,220.54,215.9,202.64,197.39,0
HC-BATCH-1104,231.88,219.36,216.98,208.07,0
HC-BATCH-1105,121.44,113.68,106.84,99.26,0
HC-BATCH-1106,270.34,248.82,238.3,219.57,0
HC-BATCH-1107,125.66,118.84,110.28,103.79,0
HC-BATCH-1108,472.66,433.94,428.7,386.44,0
HC-BATCH-1109,187.92,178.93,169.95,163.62,0
HC-BATCH-1110,51.2,48.21,46.36,42.42,0
HC-BATCH-1111,334.82,312.54,305.44,296.32,0
HC-BATCH-1112,75.72,72.0,68.77,67.55,0
HC-BATCH-1113,496.71,462.27,456.93,438.19,0
HC-BATCH-1114,484.93,470.48,456.69,455.59,0
HC-BATCH-1115,450.63,417.84,401.8,383.45,0
HC-BATCH-1116,72.63,68.02,63.59,58.45,0
HC-BATCH-1117,390.4,372.36,362.38,327.75,0
HC-BATCH-1118,459.37,420.39,389.14,370.85,0
HC-BATCH-1119,112.46,107.89,102.65,90.4,0
HC-BATCH-1120,101.83,92.81,87.5,85.41,0
HC-BATCH-1121,424.46,401.07,389.1,366.17,0
HC-BATCH-1122,255.96,238.18,219.86,198.74,0
HC-BATCH-1123,299.44,289.09,284.09,265.33,0
HC-BATCH-1124,55.17,52.99,51.28,48.43,0
HC-BATCH-1125,240.61,223.62,205.79,200.14,0
HC-BATCH-1126,312.84,299.92,293.91,285.64,0
HC-BATCH-1127,127.01,122.06,113.69,105.22,0
HC-BATCH-1128,383.88,367.35,347.33,308.57,0
HC-BATCH-1129,162.77,155.36,148.92,133.29,0
HC-BATCH-1130,196.33,192.33,184.09,172.02,0
HC-BATCH-1131,308.36,292.16,283.58,281.42,0
HC-BATCH-1132,104.64,102.35,98.52,89.53,0
HC-BATCH-1133,490.95,466.82,455.51,440.5,0
HC-BATCH-1134,499.17,463.84,458.55,455.68,0
HC-BATCH-1135,425.01,410.74,379.95,373.65,0
HC-BATCH-1136,425.8,413.82,381.81,351.42,0
HC-BATCH-1137,88.53,85.02,81.13,78.78,0
HC-BATCH-1138,378.08,361.87,357.85,319.13,0
HC-BATCH-1139,439.07,429.56,419.57,413.6,0
HC-BATCH-1140,286.46,266.97,248.85,246.23,0
HC-BATCH-1141,268.54,248.39,235.49,208.89,0
HC-BATCH-1142,411.01,398.88,389.61,355.33,0
HC-BATCH-1143,303.28,282.44,279.5,249.93,0
HC-BATCH-1144,457.67,427.67,415.23,406.21,0
HC-BATCH-1145,491.37,464.18,428.25,402.67,0
HC-BATCH-1146,98.76,91.49,84.33,83.16,0
HC-BATCH-1147,423.76,401.87,394.96,382.81,0
HC-BATCH-1148,150.1,145.17,138.23,126.7,0
HC-BATCH-1149,474.2,448.13,427.77,380.57,0
HC-BATCH-1150,407.91,377.7,348.11,314.4,0
HC-BATCH-1151,408.21,376.32,348.45,328.19,0
HC-BATCH-1152,70.7,68.28,64.22,59.4,0
HC-BATCH-1153,302.63,294.78,275.77,244.77,0
HC-BATCH-1154,379.82,362.34,352.92,341.71,0
HC-BATCH-1155,126.49,115.81,113.6,108.42,0
HC-BATCH-1156,164.98,153.92,141.69,137.39,0
HC-BATCH-1157,322.82,305.42,288.0,274.63,0
HC-BATCH-1158,184.91,178.83,169.13,162.51,0
HC-BATCH-1159,373.42,359.66,352.85,312.03,0
HC-BATCH-1160,104.61,96.67,89.88,87.62,0
HC-BATCH-1161,243.16,231.74,217.1,201.9,0
HC-BATCH-1162,82.97,76.74,72.03,71.45,0
HC-BATCH-1163,322.31,312.31,299.65,293.37,0
HC-BATCH-1164,461.55,434.84,408.12,371.22,0
HC-BATCH-1165,425.8,398.44,392.98,392.25,0
HC-BATCH-1166,415.93,398.01,389.26,377.06,0
HC-BATCH-1167,387.93,373.93,346.81,322.89,0
HC-BATCH-1168,334.28,323.18,298.75,290.73,0
HC-BATCH-1169,286.73,271.11,268.18,253.83,0
HC-BATCH-1170,309.09,293.68,284.77,264.87,0
HC-BATCH-1171,499.82,479.99,459.25,446.53,0
HC-BATCH-1172,167.35,208.22,202.55,201.43,1
HC-BATCH-1173,62.2,59.4,55.21,51.64,0
HC-BATCH-1174,67.94,63.88,60.21,54.79,0
HC-BATCH-1175,164.14,149.55,145.84,134.37,0
